Category,Feature,Description,Component,Status,Benefit
Desktop Agent,USB Device Detection,"Logs when USB flash drives or external devices are connected or disconnected",Desktop Agent,Implemented,"Security against data exfiltration or malware introduction via USB devices"
Desktop Agent,Remote Command Execution,"Receives WebSocket commands: Lock; Unlock; Restart; Shutdown; and display popup messages",Desktop Agent,Implemented,"Admins manage all computers remotely without physically walking to each machine"
Desktop Agent,Live Remote Screenshot,"Admins can instantly capture a high-resolution screenshot of any client monitor",Desktop Agent,Implemented,"Visual verification of user activity; dispute resolution; and remote troubleshooting"
Desktop Agent,Offline Resilience & Cache Sync,"Local caching via offline-store.js for inventory; settings; and pending telemetry",Desktop Agent,Implemented,"System keeps working during network outages; auto-syncs when connection is restored"
Desktop Agent,Data Queue System,"Batched upload of telemetry data over WebSocket for efficiency",Desktop Agent,Implemented,"Reduces network overhead by batching multiple data points into single transmissions"
Desktop Agent,App Usage Tracking,"Dedicated module tracking application usage patterns and durations",Desktop Agent,Implemented,"Analytics on which software customers use most; informing licensing and resource decisions"
Desktop Agent,PDF Document Scanning,"Scans downloaded PDFs to identify online service documents (KRA; NTSA; etc.)",Desktop Agent,Implemented,"Automatically categorizes government/service documents for tracking and compliance"
Desktop Agent,Activity Tracker with Keyboard Shortcuts,"Global keyboard shortcuts for quick-recording activities (e.g. Ctrl+F1 for KRA; Ctrl+F2 for Printing). Popup appears anywhere on the desktop with quantity; customer name; and notes fields. Records saved locally and submitted at end of day.",Desktop Agent,Implemented,"Staff record service activities instantly without opening the portal; accurate daily revenue tracking per agent"
Desktop Agent,Daily Activity Submission,"End-of-day Submit & Close Day button sends all recorded activities (services; quantities; prices) to the backend with agent and hostname metadata. Triggers photocopy data collection on submission.",Desktop Agent,Implemented,"Complete daily revenue accountability per agent; automatic photocopy hardware data sync on submission"
Desktop Agent,Photocopy Sheet Tracking,"Reads hardware page counters from EPSON and other printers via stealth Win32 API calls to printer driver dialogs. Displays total sheets fed; printers tracked; and last reading timestamp.",Desktop Agent,Implemented,"Hardware-verified photocopy counts for accurate billing; eliminates manual sheet counting"
Desktop Agent,Stealth Printer Data Extraction,"Background process uses Win32 API to open; read; and immediately hide printer property dialogs to extract lifetime page counts without any visible UI flicker",Desktop Agent,Implemented,"Completely invisible data collection; no disruption to user's active desktop session"
Desktop Agent,Agent Portal UI,"Full-featured portal with tabs: Store; Sales History; Services & Prices; Documents; Templates; Guides; Photocopy Tracking; Submissions; Activity Tracker; Help & Shortcuts; Pending offline actions",Desktop Agent,Implemented,"Staff have a comprehensive workspace for all daily operations without needing the admin dashboard"
Desktop Agent,Inventory POS on Agent,"Staff can browse inventory; record sales with quantity/payment method/notes; and get instant confirmation. Supports Cash and M-Pesa payment methods.",Desktop Agent,Implemented,"Point-of-sale directly from the client computer; no separate POS hardware needed"
Desktop Agent,Sales History with Corrections,"Staff view their own sales history with today's/all-time stats. Can issue corrections (refund/reverse) with reason tracking and audit trail.",Desktop Agent,Implemented,"Self-service sales management with accountability; corrections are logged for admin review"
Desktop Agent,User Submissions Portal,"Staff can submit documents (templates; guides) with title; description; category; and multi-file upload for admin review",Desktop Agent,Implemented,"Crowdsourced content creation from staff; admin approves quality submissions"
Desktop Agent,Auto-Update System,"Check for Updates button in agent portal header; supports automatic installer downloads",Desktop Agent,Implemented,"Seamless agent upgrades without manual intervention"
Print Management,Print Job Interception,"Hooks into Windows Print Spooler to track all print requests globally",Desktop Agent,Implemented,"Every print job across the entire OS is captured for accurate billing"
Print Management,Page & Color Detection,"Determines if print job is Color or Black & White and counts exact page numbers",Desktop Agent,Implemented,"Accurate differentiated pricing: KSH 10 for B&W vs KSH 50 for Color per page"
Print Management,Automated Print Billing,"Automatically calculates cost and adds to user session tab or standalone transaction",Desktop Agent / Backend,Implemented,"Zero manual calculation: print costs are instantly reflected in user billing"
Print Management,Printer Hardware Monitoring,"Tracks all installed printers; online/offline status; driver details; and lifetime page counts",Desktop Agent,Implemented,"Proactive maintenance: know when printers go offline or need servicing"
Print Management,Print Manager Dashboard,"Dedicated admin page with tabs: Print Jobs; Printers & Status; Sheet Usage Comparison & Audit. Supports search; filters; date ranges; and analytics.",Admin Dashboard,Implemented,"Complete visibility into all printing activity across all computers"
Print Management,Print vs Photocopy Comparison & Audit,"Side-by-side comparison of spooler-reported prints vs hardware sheet counts. Agent Submission Breakdown table showing Machine-Submitted vs Self-Submitted copies with revenue attribution per agent.",Admin Dashboard,Implemented,"Identifies discrepancies between software-tracked prints and actual hardware usage; detects untracked photocopies"
Print Management,Agent Submission Breakdown,"Detailed per-agent table showing Total Copies; Machine Submitted (from desktop agent); Self Submitted (manual portal entry); and Reported Revenue with source tagging",Admin Dashboard,Implemented,"Full transparency on which agent submitted what data and from where; accountability for photocopy revenue"
Inventory & POS,Centralized Item Management,"Admins manage items; pricing; categories; stock levels; and images from dashboard",Admin Dashboard / Backend,Implemented,"Single source of truth for all inventory; preventing pricing discrepancies"
Inventory & POS,Digital Self-Service Storefront,"Users at client PCs can browse and purchase items (snacks; USB drives) directly",User Portal,Implemented,"Increased impulse purchases; no need for staff intervention for simple sales"
Inventory & POS,Atomic Transaction Processing,"Prevents overselling; creates linked receipt; and immediately decrements global stock",Backend,Implemented,"Race condition safe: even simultaneous purchases from multiple PCs never oversell"
Inventory & POS,Low-Stock Alerts,"Monitors thresholds and dispatches alerts via UI notifications and email",Backend / Admin Dashboard,Implemented,"Prevents stockouts by alerting admins before items run out"
Inventory & POS,Category Management,"Organize inventory items into customizable categories",Admin Dashboard,Implemented,"Clean organization makes it easy for both admins and customers to find items"
Inventory & POS,Sale Correction & Reversal,"Staff and admins can reverse incorrect sales with mandatory reason. Stock is restored; transaction is marked as corrected with full audit trail.",Desktop Agent / Backend,Implemented,"Error recovery without manual database edits; complete audit trail for accountability"
User Portal,Session Dashboard,"Users view active session time; accumulated charges (usage + prints + purchases)",User Portal,Implemented,"Transparency: users always know their running costs before logging out"
User Portal,Task Management,"Users see assigned tasks; start/complete them with visual progress tracking",User Portal,Implemented,"Structured workflow for service tasks like typing; CV creation; or document formatting"
User Portal,Service Catalog,"Displays available professional cybercafe services configured by admin",User Portal,Implemented,"Customers discover and request additional services they may not have known about"
User Portal,Learning & Tutorials,"Admin-curated educational content and video tutorials for users",User Portal / Admin Dashboard,Implemented,"Value-added service: customers learn while using the cybercafe"
User Portal,Document Templates,"Library of downloadable templates (CVs; forms; letters) managed by admin",User Portal / Admin Dashboard,Implemented,"Ready-to-use templates save customers time and generate service revenue"
User Portal,Secure File Downloads,"Users download files pushed to them by admin directly from the portal",User Portal,Implemented,"Seamless document delivery from admin to specific user computers"
User Portal,Account Management,"User profile; session history; and account settings",User Portal,Implemented,"Users manage their own information and review past usage"
User Portal,Guidance System,"Curated guidance resources and how-to content for cybercafe services",User Portal,Implemented,"Reduces staff support burden by providing self-service help content"
User Portal,User Submissions,"Users can submit work; documents; or requests directly through the portal",User Portal,Implemented,"Streamlines Service workflows like typing or document preparation"
Document Management,Admin-to-Client File Transfer,"Drag-and-drop files from admin dashboard to specific user computers",Admin Dashboard / Desktop Agent,Implemented,"Instant file delivery to any computer without USB drives or email"
Document Management,Public Document Upload,"Customers upload documents via landing page with service instructions from any device",Landing Page,Implemented,"Customers can send printing/typing jobs from home; ready for pickup later"
Document Management,Order Tracking,"Track document request status by Order ID without needing an account",Landing Page,Implemented,"Customers check if their documents are ready without calling the shop"
Document Management,Work File Downloads,"Completed work files are available for download from dashboard or tracking page",Landing Page / Admin Dashboard,Implemented,"Digital delivery of completed work; customers can download from anywhere"
Document Management,Agent Document Notifications,"Desktop agents receive notifications when public documents are uploaded",Desktop Agent,Implemented,"Staff are instantly alerted to new work; reducing customer wait times"
Document Management,Chain of Custody Tracking,"Records which computer/agent received and downloaded each customer file",Backend / Admin Dashboard,Implemented,"Complete audit trail of document handling for accountability"
Document Management,Document Request Management,"Full admin interface to view; process; and manage all document submissions",Admin Dashboard,Implemented,"Centralized workflow for all incoming document jobs with status management"
Admin Dashboard,Live Computer Grid,"Visual layout of all computers showing online status; current user; and active state",Admin Dashboard,Implemented,"At-a-glance view of entire cybercafe operations"
Admin Dashboard,Activity Monitor Drawer,"Side-panel drill-down showing sessions; browser history; files; prints; and screenshots per computer",Admin Dashboard,Implemented,"Deep insight into individual computer activity without leaving the main view"
Admin Dashboard,Financial Analytics with Date Ranges,"Revenue dashboard with date-range picker (Today; Yesterday; This Week; This Month; Last 7/30 Days; Custom). Shows breakdown by type: Sessions; Printing; Photocopies; Tasks; Sales. Revenue by computer with 7-column breakdown.",Admin Dashboard,Implemented,"Data-driven business decisions with flexible time periods; know exactly where revenue comes from"
Admin Dashboard,Printing & Photocopy Revenue Tracking,"Finance page dynamically pulls print job data and photocopy activity records. Shows B&W vs Color breakdown with sheet counts; photocopy revenue from agent submissions.",Admin Dashboard,Implemented,"Accurate revenue attribution for printing and photocopy services; no manual calculation needed"
Admin Dashboard,Revenue Reports,"Today/Week/Month revenue calculations with trend analysis",Admin Dashboard,Implemented,"Track business performance over time and identify growth patterns"
Admin Dashboard,Session Management,"Complete login/logout history with session duration and calculated charges",Admin Dashboard,Implemented,"Accurate billing records and dispute resolution"
Admin Dashboard,Browser History Analytics,"Searchable; filterable view of all user browsing activity across all computers",Admin Dashboard,Implemented,"Monitor appropriate usage; identify trends; and enforce policies"
Admin Dashboard,Staff Task Management,"Built-in task tracking (To-Do; In Progress; Done) for coordinating staff duties",Admin Dashboard,Implemented,"Organized workflow management for cybercafe staff"
Admin Dashboard,User Management,"Create; edit; disable agent users; portal users; and admin staff",Admin Dashboard,Implemented,"Centralized user administration with role-based access control"
Admin Dashboard,Service Catalog Management,"CRUD operations for all cybercafe services with pricing; categories; and keyboard shortcut assignment for activity tracking",Admin Dashboard,Implemented,"Flexible service configuration with shortcut keys that sync to desktop agents"
Admin Dashboard,Settings & Configuration,"Pricing configuration; portal auth settings; data management; and system preferences",Admin Dashboard,Implemented,"Customize system behavior without developer intervention"
Admin Dashboard,Online Service Document Tracking,"View PDF documents identified by the agent scanner as government/online service docs",Admin Dashboard,Implemented,"Know which customers accessed government portals (KRA; NTSA) for compliance"
Admin Dashboard,Data Management Controls,"Clear browser data; online service data; landing page data; and document data independently",Admin Dashboard,Implemented,"GDPR-friendly data management with granular deletion controls"
Admin Dashboard,Real-Time Notifications System,"Socket-powered notification bell with alerts for: inventory sales; low stock; user submissions; document uploads; agent connections; and session events. Notifications persisted in localStorage with read/unread tracking.",Admin Dashboard,Implemented,"Admins never miss important events; actionable notifications link directly to relevant pages"
Admin Dashboard,Dark & Light Theme Toggle,"Full dual-theme support with smooth transitions. Dark theme (navy/teal) and Light theme (slate/white) with persistent preference.",Admin Dashboard,Implemented,"Comfortable viewing in any lighting condition; reduces eye strain during long sessions"
Admin Dashboard,Polished UI/UX Design,"Compact stat cards; tighter table rows with uppercase headers; smaller tags; streamlined page headers; organized sidebar with Monitoring sub-menu grouping. Unified Activity Feed on dashboard.",Admin Dashboard,Implemented,"Clean; professional data consumption across all pages without visual clutter"
Admin Dashboard,Sidebar Organization,"Menu items grouped logically: primary operations at top (Dashboard; Computers; Sessions; Print Manager; Finance; Users; Tasks; Inventory); secondary items under Monitoring (Browser History; Documents; Submissions) and Content (Templates; Learning; Guidance) sub-menus",Admin Dashboard,Implemented,"Reduced cognitive load; frequently-used items accessible first; less-used features organized but accessible"
Admin Dashboard,Streamlined Dashboard,"Command center with compact computer status grid; 3-column revenue summary; unified activity feed merging sessions + prints + tasks in chronological order. Scrollable card bodies.",Admin Dashboard,Implemented,"Glance-able overview without information overload; all key metrics visible without scrolling"
Landing Page,Responsive Modern Design,"Professional landing page with glassmorphism; animations; and mobile responsiveness",Landing Page,Implemented,"Premium first impression that builds trust with potential customers"
Landing Page,Document Upload with Drag & Drop,"Intuitive file upload supporting PDF; DOC; DOCX; XLS; XLSX up to 50MB",Landing Page,Implemented,"Easy document submission from any device; even smartphones"
Landing Page,Service Selection,"Dropdown to specify required service (printing; typing; scanning; binding; etc.)",Landing Page,Implemented,"Clear communication of customer needs reduces back-and-forth"
Landing Page,Customer Authentication,"Login/Sign Up modal with tabbed interface for returning and new customers",Landing Page,Implemented,"Account-based tracking of all submissions and order history"
Landing Page,Client Dashboard,"Post-login dashboard showing total orders; completed orders; and full order history",Landing Page,Implemented,"Self-service order tracking without contacting the shop"
Landing Page,Order Tracking by ID,"Track any order status by entering the HN-XXXXXX order ID",Landing Page,Implemented,"Even non-registered customers can check their order status"
Landing Page,Creative Services Showcase,"Sections for Videography; Photography; and Branding services with booking links",Landing Page,Implemented,"Promotes high-margin creative services beyond basic cybercafe offerings"
Landing Page,Customer Testimonials,"Social proof section with customer reviews and ratings",Landing Page,Implemented,"Builds trust and credibility with potential new customers"
Landing Page,Contact & Location Info,"Business address; phone numbers; hours; email; and map placeholder",Landing Page,Implemented,"Easy for customers to find and contact the business"
Landing Page,WhatsApp Integration,"Floating WhatsApp chat button for instant customer communication",Landing Page,Implemented,"Direct messaging channel customers already use daily"
Landing Page,Toast Notification System,"Elegant non-intrusive notifications for success/error/info messages",Landing Page,Implemented,"Professional user feedback without disruptive alert popups"
Technical Infrastructure,CORS Configuration,"Cross-Origin Resource Sharing enabled for all client applications",Backend,Implemented,"Secure cross-domain communication between frontend apps and backend API"
Technical Infrastructure,File Upload with Multer,"Configurable file upload handling with type filtering and 50MB size limits",Backend,Implemented,"Safe and controlled file processing with validation"
Technical Infrastructure,Auto Session Cleanup,"MongoDB TTL index automatically deletes expired auth sessions",Backend,Implemented,"Self-maintaining database: no manual cleanup of stale sessions needed"
Technical Infrastructure,Database Seeding,"Automatic initial data population for services and default configuration",Backend,Implemented,"Fresh deployments are immediately functional with sensible defaults"
Technical Infrastructure,Computer State Sync,"In-memory computer map syncs from MongoDB on server startup",Backend,Implemented,"Server restarts don't lose awareness of registered computers"
Technical Infrastructure,Email Integration,"Nodemailer with Gmail for OTP delivery and admin notifications",Backend,Implemented,"Automated email communications for security and business operations"
Technical Infrastructure,Verification Code System,"MongoDB-backed OTP and temp token storage with automatic expiry",Backend,Implemented,"Cluster-safe 2FA that works across multiple server instances"
Technical Infrastructure,Static File Serving,"Express static middleware for uploaded files and assets",Backend,Implemented,"Direct HTTP access to uploaded documents and completed work files"
Technical Infrastructure,Date Range Filtered API Endpoints,"Transaction and print-jobs admin API endpoints support startDate/endDate query parameters for flexible date-range filtering",Backend,Implemented,"Frontend pages can pull data for any time period; enabling accurate period-specific reporting"
Technical Infrastructure,Activity Records API,"Backend stores and retrieves daily activity submissions with agent; hostname; service; quantity; and pricing metadata. Supports date-range filtering.",Backend,Implemented,"Complete audit trail of all service activities recorded by agents across all computers"
